seconds_since_start,reading_1_us,reading_2_us,reading_3_us,reading_4_us,reading_5_us,reading_6_us,reading_7_us,reading_8_us,reading_9_us,reading_10_us,reading_11_us,reading_12_us,reading_13_us,reading_14_us,reading_15_us,reading_16_us,reading_17_us,reading_18_us,reading_19_us,reading_20_us
0,1032,1037,1027,1030,1028,1028,1042,1059,1030,1048,1033,1052,1035,1041,1057,1038,1059,1055,1026,1027
0,1057,1034,1059,954,1035,175,1027,1040,207,1058,1055,1031,867,1032,150,1032,1040,208,1058,1026
305,1028,1028,1061,1035,1061,36,1052,31,1035,1031,1026,1028,1034,1037,33,1052,32,1040,33,1052
611,812,1060,1028,1048,340,1052,32,1033,31,1052,1051,1035,1035,1042,1058,32,1051,31,1035,32
916,1032,900,1034,1055,1063,32,1046,32,1042,1058,1057,1056,1037,1030,32,1044,33,1029,1027,1037
1221,1049,1037,1059,1057,1042,1028,36,1031,32,1051,1027,756,1031,1044,1058,261,1035,32,1030,38
1526,1060,1027,230,1052,32,1031,34,1052,1051,703,1033,1059,1056,676,1052,31,1035,33,1041,1058
1831,1041,1029,1029,1052,32,1035,33,1027,1030,1037,1058,843,1040,32,1032,31,1032,1029,1026,1032
2136,1050,1033,99,1037,32,1027,40,1029,1030,1050,1031,1029,1059,31,1052,32,1038,1056,1039,1058
2441,932,1041,32,1027,41,1027,1052,922,1052,1049,1051,31,1027,32,1050,32,1027,1037,980,1033
2747,58,1029,1029,896,1052,1035,1039,32,1048,31,1057,1057,907,1057,1037,1030,31,1056,33,1028
3052,1052,1029,35,1036,32,1031,1028,1034,1032,1050,1050,32,1031,32,1048,260,1057,1059,1060,1056
3357,1046,1054,1057,1061,652,1031,33,1038,31,1027,1029,879,1029,1047,1036,32,1036,32,1027,39
3662,1056,1035,35,1050,31,1032,1036,822,1057,1027,1034,31,1055,32,1051,33,1033,1034,1057,1042
3967,46,1037,41,1057,1029,954,1029,1049,1028,147,1028,34,1035,32,1048,1047,928,1030,1052,1028
4272,1051,1052,1027,1035,1042,1028,35,1032,33,1051,1052,871,1033,1055,1035,235,1058,31,1050,32
4577,1057,1059,290,1049,33,1038,31,1026,1036,1034,1027,1029,1030,40,1030,32,1035,1055,1055,1035
4883,1055,1036,1060,681,1043,32,1027,40,1060,1027,914,1030,1030,1038,32,1042,32,1036,32,1052
5188,811,1029,1050,1027,147,1027,31,1035,32,1048,1046,1051,1049,1032,1052,32,1033,34,1051,1050
5493,1051,1050,36,1031,32,1049,1049,819,1027,1049,1029,32,1057,32,1046,32,1036,1037,1029,1051
5798,1048,1029,1052,1032,1040,35,1028,33,1057,1057,981,1050,1032,1035,31,1026,31,1057,32,1032
